ticket_id,created_at,status,brand_id,group_id,assignee_id,tem_advanced_ia,tem_welcome
2846729,2026-07-18T20:52,open,28331414811547,,50032929128731,False,False
2846652,2026-07-18T20:32,open,28331414811547,,50032929128731,False,False
2846643,2026-07-18T20:29,open,28331414811547,,50032929128731,False,False
2846498,2026-07-18T19:46,open,28331414811547,,50032929128731,False,False
2846456,2026-07-18T19:31,open,28331414811547,,50032929128731,False,False
2846427,2026-07-18T19:19,open,28331414811547,,50032929128731,False,False
2846267,2026-07-18T18:29,open,28331414811547,,50032929128731,False,False
2846179,2026-07-18T17:57,open,28331414811547,,50032929128731,False,False
2846084,2026-07-18T17:26,open,28331414811547,,50032929128731,False,False
2846043,2026-07-18T17:16,open,28331414811547,,50032929128731,False,False
2845851,2026-07-18T16:15,open,28331414811547,,50032929128731,False,False
2845824,2026-07-18T16:03,open,28331414811547,,50032929128731,False,False
2845806,2026-07-18T15:58,open,28331414811547,,50032929128731,False,False
2845745,2026-07-18T15:35,open,28331414811547,,50032929128731,False,False
2845009,2026-07-18T08:54,open,28331414811547,,50032929128731,False,False
2844748,2026-07-18T03:37,open,28331414811547,,50032929128731,False,False
2844625,2026-07-18T02:34,open,28331414811547,,50032929128731,False,False
2844584,2026-07-18T02:19,open,28331414811547,,50032929128731,False,False
2844366,2026-07-18T00:57,open,28331414811547,,50032929128731,False,False
2844281,2026-07-18T00:27,open,28331414811547,,50032929128731,False,False
2844046,2026-07-17T23:02,open,28331414811547,,50032929128731,False,False
2844027,2026-07-17T22:56,open,28331414811547,,50032929128731,False,False
2844011,2026-07-17T22:52,open,28331414811547,,50032929128731,False,False
2843958,2026-07-17T22:34,open,28331414811547,,50032929128731,False,False
2843868,2026-07-17T22:07,open,28331414811547,,50032929128731,False,False
2843747,2026-07-17T21:17,open,28331414811547,,50032929128731,False,False
2843627,2026-07-17T20:31,open,28331414811547,,50032929128731,False,False
2843574,2026-07-17T20:11,open,28331414811547,,50032929128731,False,False
2843449,2026-07-17T19:22,open,28331414811547,,50032929128731,False,False
2843171,2026-07-17T17:41,open,28331414811547,,50032929128731,False,False
2842968,2026-07-17T16:07,open,28331414811547,,50032929128731,False,False
2842964,2026-07-17T16:07,open,28331414811547,,50032929128731,False,False
2842666,2026-07-17T13:52,open,28331414811547,,50032929128731,False,False
2842127,2026-07-17T03:39,open,28331414811547,,50032929128731,False,False
