ticket_id,created_at_utc,status
2699219,2026-06-18T15:55:53Z,closed
2699223,2026-06-18T15:59:00Z,closed
2699227,2026-06-18T15:46:01Z,closed
2699229,2026-06-18T15:44:41Z,closed
2699230,2026-06-18T16:07:18Z,closed
2699232,2026-06-18T15:58:16Z,closed
2699233,2026-06-18T16:01:10Z,closed
2699234,2026-06-18T15:44:41Z,closed
2699242,2026-06-18T15:46:23Z,closed
2699247,2026-06-18T15:47:56Z,closed
2699254,2026-06-18T16:04:56Z,closed
2699257,2026-06-18T16:03:32Z,closed
2699263,2026-06-18T15:52:31Z,closed
2699269,2026-06-18T16:06:13Z,closed
2699273,2026-06-18T16:02:43Z,closed
2699290,2026-06-18T16:00:06Z,closed
2699298,2026-06-18T16:16:05Z,closed
2699310,2026-06-18T16:08:05Z,closed
2699319,2026-06-18T16:07:42Z,closed
2699328,2026-06-18T16:14:46Z,closed
2699329,2026-06-18T16:07:46Z,closed
2699334,2026-06-18T16:12:42Z,closed
2699338,2026-06-18T16:22:52Z,closed
2699339,2026-06-18T16:23:37Z,closed
2699341,2026-06-18T16:34:01Z,closed
2699348,2026-06-18T16:10:59Z,closed
2699374,2026-06-18T16:18:50Z,closed
2699392,2026-06-18T16:22:36Z,closed
2699394,2026-06-18T16:23:09Z,closed
2699399,2026-06-18T16:23:24Z,closed
2699410,2026-06-18T16:37:47Z,closed
2699416,2026-06-18T16:39:35Z,closed
2699425,2026-06-18T16:48:52Z,closed
2699451,2026-06-18T16:48:26Z,closed
2699465,2026-06-18T16:56:22Z,closed
2699467,2026-06-18T16:37:47Z,closed
2699480,2026-06-18T16:39:56Z,closed
2699484,2026-06-18T16:42:53Z,closed
2699494,2026-06-18T16:42:27Z,closed
2699497,2026-06-18T16:46:00Z,closed
2699506,2026-06-18T16:44:46Z,closed
2699510,2026-06-18T16:48:19Z,closed
2699512,2026-06-18T17:02:12Z,closed
2699521,2026-06-18T16:48:58Z,closed
2699525,2026-06-18T17:02:27Z,closed
2699528,2026-06-18T16:50:25Z,closed
2699532,2026-06-18T17:04:30Z,closed
2699537,2026-06-18T16:50:24Z,closed
2699540,2026-06-18T16:58:52Z,closed
2699547,2026-06-18T17:06:31Z,closed
2699552,2026-06-18T16:58:13Z,closed
2699553,2026-06-18T16:55:43Z,closed
2699571,2026-06-18T17:10:33Z,closed
2699573,2026-06-18T16:56:57Z,closed
2699574,2026-06-18T16:56:22Z,closed
2699577,2026-06-18T16:57:43Z,closed
2699579,2026-06-18T17:01:40Z,closed
2699581,2026-06-18T16:59:49Z,closed
2699586,2026-06-18T17:05:23Z,closed
2699593,2026-06-18T17:01:12Z,closed
2699595,2026-06-18T17:15:01Z,closed
2699597,2026-06-18T17:04:28Z,closed
2699598,2026-06-18T17:15:41Z,closed
2699600,2026-06-18T17:17:01Z,closed
2699607,2026-06-18T17:05:28Z,closed
2699608,2026-06-18T17:06:18Z,closed
2699610,2026-06-18T17:18:45Z,closed
2699617,2026-06-18T17:09:39Z,closed
2699618,2026-06-18T17:07:46Z,closed
2699624,2026-06-18T17:11:50Z,closed
2699629,2026-06-18T17:11:05Z,closed
2699632,2026-06-18T17:11:32Z,closed
2699643,2026-06-18T17:12:46Z,closed
2699647,2026-06-18T17:32:47Z,closed
2699651,2026-06-18T17:27:08Z,closed
2699655,2026-06-18T17:14:31Z,closed
2699656,2026-06-18T17:14:02Z,closed
2699657,2026-06-18T17:29:54Z,closed
2699663,2026-06-18T17:16:12Z,closed
2699666,2026-06-18T17:18:31Z,closed
2699669,2026-06-18T17:38:14Z,closed
2699671,2026-06-18T17:30:56Z,closed
2699676,2026-06-18T17:26:26Z,closed
2699677,2026-06-18T17:28:22Z,closed
2699683,2026-06-18T17:35:12Z,closed
2699685,2026-06-18T17:22:53Z,closed
2699690,2026-06-18T17:28:16Z,closed
2699698,2026-06-18T17:27:44Z,closed
2699705,2026-06-18T17:27:37Z,closed
2699708,2026-06-18T17:41:17Z,closed
2699711,2026-06-18T17:29:01Z,closed
2699713,2026-06-18T17:29:24Z,closed
2699716,2026-06-18T20:35:54Z,closed
2699719,2026-06-18T17:31:40Z,closed
2699720,2026-06-18T17:43:09Z,closed
2699724,2026-06-18T17:35:10Z,closed
2699728,2026-06-18T17:40:23Z,closed
2699729,2026-06-18T17:51:34Z,closed
2699733,2026-06-18T17:47:04Z,closed
2699734,2026-06-18T17:33:28Z,closed
2699745,2026-06-18T17:48:35Z,closed
2699750,2026-06-18T17:40:56Z,closed
2699756,2026-06-18T17:56:11Z,closed
2699763,2026-06-18T17:57:21Z,closed
2699764,2026-06-18T17:42:10Z,closed
2699769,2026-06-18T17:58:56Z,closed
2699772,2026-06-18T17:43:11Z,closed
2699777,2026-06-18T17:46:27Z,closed
2699779,2026-06-18T17:58:44Z,closed
2699789,2026-06-18T17:47:52Z,closed
2699797,2026-06-18T18:03:39Z,closed
2699811,2026-06-18T18:05:34Z,closed
2699837,2026-06-18T18:00:34Z,closed
2699846,2026-06-18T18:15:49Z,closed
2699853,2026-06-18T18:17:36Z,closed
